Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,ARM,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299949,306410,227620,248200,312800,254180,322730,292212,216970,360144,407583,305303,451641,391829,208587,447554,409182,369076.6,321954,435470,451049,543659,574673,595756.6,598966,298029,334342,195063,242010.7,155061.24
American Samoa,ASM,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,30,18,30,45,60,80,92,28,37,60,51,30,35,96,29,45,59,68,29,38,40,48,57,60,50,55,50.95,50.22,49.43,45,48.63,48.94,49.35,49.73,48,50.77,50,55,60,61.12,65,64.85,68,66.32,63.44,71.88,70.12,71.77,72.08,74.57,64.71,51.47,36.95,24.1,11.4,10.68
Australia,AUS,Cereal production (metric tons),AG.PRD.CREL.MT,,9149882,11143648,11812267,13001568,9684056,16585035,9873734,18905065,14250318,12904533,14840092,10781927,16997800,16367969,17767379,17448064,14417267,25274482,23343860,16402312,23703676,14186565,31068963,28602111,24942194,24001774,19899619,21891006,22375364,23045332,22682618,19863778,24099636,27487013,15699410,27591195,35990811.3,30711400,33644600,35386938,34717520.71,38590113,17553202,42384121.8,34357112,40504980,17771911,26866214,34140448.13,33464873.64,39973081.87,43362426.46,35589235.54,38420401.88,37195914.48,35229824.87,50049458.35,33860811.85,29235685.26,26612822.12,51077870.98
Austria,AUT,Cereal production (metric tons),AG.PRD.CREL.MT,,2274011,2305937,2229471,2349312,2019628,2648957,2934871,3046205,3406075,3070552,3545643,3318492,3787094,4014005,3704116,4277716,4203640,4628713,3982485,4826198,4356211,5026041,5075517,5353319,5551181,5108350,4964599,5359343,5009116,5289752,5044859,4322590,4206456,4435935,4451882,4494851.92,5010607.17,4772664.73,4809095.2,4494383.16,4837093.57,4762611.9,4269509.66,5323713.99,4907056.68,4467510.5,4766039.24,5756463.63,5164152.4,4866648.45,5712206.55,4883379.22,4599433.26,5720308.58,4853895.01,5701697.09,4874849.22,4787200,5399310,5649770,5316150
Azerbaijan,AZE,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325023,1136987,1024216,909592,999404,1074720.7,915652,1065306.4,1496224.24,1955915,2133184,1993208,2086640,2056186,2011622,1943652.6,2419910.7,2903361,1928779,2370823.1,2707274.3,2856572,2298047.5,2898559,2965670,2824527.1,3181818,3416764.3,3151182,3258169.4
Burundi,BDI,Cereal production (metric tons),AG.PRD.CREL.MT,,130000,129150,130080,148680,148278,152037,154700,164900,162233,168887,171722,155486,175827,143009,179475,181600,185500,202042,213400,216600,227000,221000,227000,224000,256000,266000,279300,291700,295900,293300,299800,306100,299700,224724,269037,272649,304757,260539,264518,254735,283645,292395,282588,290589,296951,296904,302211,298181,310616,322677.98,337662.22,256889.05,254053.73,236266.5,259661.44,467750.63,375173.02,459657.97,546963.29,465598.52,457790.83
Belgium,BEL,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2513100,2358600,2639300,2560990,2931988,2786575,2684227,2718733,3113270,3255409,3041408,2939102,2957908,3097497,3162852,3163733,2287774,2764392,2431020,2814390,2565850,2452580
Benin,BEN,Cereal production (metric tons),AG.PRD.CREL.MT,,290434,286798,278549,294532,286772,262408,313677,291772,274553,284987,238061,271788,344166,335444,298579,277970,326072,417890,389148,345952,361635,352337,351157,483030,535415,496618,400650,556977,565013,545898,584864,609496,625249,645357,734332,714355,876553,867173,974484,993383,942790,1086000,1042770,1108856,1151853,1095952,1158679,1267588,1508142,1333435.72,1544233,1576090.51,1791887.87,1714040.4,1643227.33,1814288.87,1897503.59,2320755.59,2177782.78,2203105.09,2308912.73
Burkina Faso,BFA,Cereal production (metric tons),AG.PRD.CREL.MT,,726079,895048,918153,1010600,953407,1000000,1035155,1084696,1037041,1065118,883608,880284,831365,1086580,1254319,995823,1109843,1169854,1180823,1047988,1270034,1209967,1119418,1089368,1583270,1889857,1637101,2100562,1951671,1517900,2454900,2478600,2527355,2232037,2307988,2481805,2013552,2656756,2699886,2279246.55,3109092,3119050,3564281,2901973,3649533,3680674,3108811,4358518,3626638,4560546,3666404,4898544,4869722,4469300,4189665,4567066,4063197,5180701.81,4939629.91,5179103,4710191.1
Bangladesh,BGD,Cereal production (metric tons),AG.PRD.CREL.MT,,14523696,13408128,16042664,15842004,15852140,14464297,16876448,17160028,18187398,16905215,15088878,15323537,18021512,17105414,19322564,17908126,19772481,19984399,19658591,21698327,21591389,22339648,22990185,23256274,24134965,24266331,24304321,24449929,27886213,27746673,28326730,28516927,28177410,26325480,27704115,29620075,29673515,31577495,36403000,39503000,38029335,39341455,40015280,37759046,41146756,42044685,44841300,48946800,49735853,51862850,52628364,52801014,54357477,55241123,55438379,54262297,58495624,58811726.54,59181759.37,59960014.28,62156213.25
Bulgaria,BGR,Cereal production (metric tons),AG.PRD.CREL.MT,,4403935,4466325,4507537,5232842,5307655,6823527,6531374,5285685,6080288,6788615,7076215,8152773,7329016,6608375,7706452,8492409,7577645,7491580,8290010,7647576,8449300,9967359,7931689,9249148,5382902,8492188,7275590,7816939,9527371,8125944,8983805.61,6593632.81,5697849.17,6441668.21,6543382,3403520,6187844,5378183,5221441,4388340.55,6076855.95,6770394,3814085,7462821,5839080,5531830,3870212.73,7015582,6243088,7136449,7521107.72,6988023,9153930,9530421,8570299,8752219,9475846,10109850,11130990,8598290,11639300
Bahrain,BHR,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Cereal production (metric tons),AG.PRD.CREL.MT,,100,150,200,250,300,430,450,470,490,510,530,550,580,595,610,625,640,730,720,719,720,740,750,800,820,820,750,700,700,750,750,500,400,312,312,312,348,377,379,312,300,305,340,355,360,380,400,500,600,678,687,690,690.83,687.62,597.18,658.54,647.78,680.05,662.12,663.32,668.49
Bosnia and Herzegovina,BIH,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080400,962300,847400,671360,841400,1242059,1326660,1368792,930230,1137981,1307700,793364,1438704,1349772,1340995,1000576,1374701,1390724,1104907,1118257,905975,1222498,1082655,1137236,1657556,1167004.74,1743762,1666131,1944178,1400676
Belarus,BLR,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7135000,7329074.21,5951814.52,5329554.84,5496095.16,5937335.48,4510975.8,3427316.12,4579256.44,4885396.76,5723737.08,5132062.2,6604944.45,6104298.71,5700180.97,7029909.22,8728461.48,8169503.73,6741683.99,7996331.18,8843847.86,7233152,9033775,8186980,7075658,7529412,5813781,6991979,8403688,7595631.26
Belize,BLZ,Cereal production (metric tons),AG.PRD.CREL.MT,,4848,3245,3856,5084,5819,4478,8328,9893,11181,19369,20424,20409,24267,20321,16646,24449,25644,25854,22090,27443,31967,29121,23722,21830,25209,22887,27818,28672,28572,29835,42005,38130,43640,34364,43264,55948,59873,52236,62300,47875,57267,56428,60036,53937,71758,53390,70153,59522,87276,98489,91768,91627,111934,94519,80959,91556.38,118376,99341,85114,112007,136612
Bermuda,BMU,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Cereal production (metric tons),AG.PRD.CREL.MT,,411470,418321,449507,381392,455106,434564,429601,480710,503075,478920,510860,491455,498445,516196,592260,631970,557490,557915,595580,625905,766100,700371,496789,865748,972965,839006,865495,834282,845276,792648,902497,952128,1113756,956890,1089553.07,1138597.59,944951.86,1157807.09,1137351,1244321.76,1324781,1315565.21,1462502,1255985,1659795,1865967,1733466,2052972,2378919,2133671,1988006.81,2125542.86,2503244.71,2449241,2934919,2660808,2278993.69,3267425.32,2912082,2914459,3703894.03
Brazil,BRA,Cereal production (metric tons),AG.PRD.CREL.MT,,15036353,15918336,16616892,16469226,20350793,17867924,20322328,20418801,20549860,23698316,22814265,22703928,23721606,26240014,26238419,31143200,30913834,24033646,27147322,33217492,32050567,33838263,29197566,32711289,36011139,37298400,44148398,42905037,43934410,32490390,36682063,44057994,43073467,45845331.58,49641823,42436960.06,44874819.85,40742023.47,47631962.27,46527201.96,57125393.44,50875594,67454328.6,63953364.1,55670925,59148978,69441634,79745466.44,70914790.87,75160152.06,77586276,89908244,100901726,101402184,106026684.8,84166681.6,117977043.9,103259650.9,121202408.5,125567855,112220282.9
Barbados,BRB,Cereal production (metric tons),AG.PRD.CREL.MT,,716,899,708,508,560,830,1000,1449,1754,1600,1400,2073,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2400,2000,2100,2100,2200,2200,2300,2100,1800,1600,1300,1100,800,650,520,390,300,250,218,263,250,260,270,280,267.8,262.66,259.58,268.89,320,340,81,122,95.57,73.86,109.3,42,86,49.9
Brunei Darussalam,BRN,Cereal production (metric tons),AG.PRD.CREL.MT,,4908,5245,3868,3441,2946,3408,5523,5522,6782,6781,4381,4000,6116,9766,9882,7230,4259,3836,4615,2747,2494,2366,2676,3270,1082,1540,1080,1930,1560,930,880,740,790,785,508,446,446,446,200,299,350,372,547,620,851,886,983,911,891,1072,1480,1756,1237,1382,1983,1579,1527,1569,1499.95,2511.31,2675
Bhutan,BTN,Cereal production (metric tons),AG.PRD.CREL.MT,,98408,101378,104458,107233,110113,113000,116100,120200,123000,126000,128900,132000,134900,138200,141100,143600,146900,150100,154100,158100,163700,166230,171700,178891,167300,164350,139700,94871,94800,121320,100025.47,101312.04,116779.57,131911.14,149534.32,162306.75,169824.81,168080.92,151252.3,106650,115000,91437,106447,153969,192631,184653,190853,166007,143552,144634,184333,167800,171148.72,170212.58,175635.48,176187.02,192713,125764.63,103324.48,103332.87,77651.86
Botswana,BWA,Cereal production (metric tons),AG.PRD.CREL.MT,,62161,16900,18550,11506,11599,35466,65529,25943,50075,11530,96400,79500,34517,110750,67050,123147,73600,34200,9750,45900,54195,19320,16765,9525,20670,23500,24275,108280,77275,54430,52300,22500,46375.59,55405.27,62769.17,89530.31,43946.35,14934,20827.3,24576.15,23080,34479.21,35885.13,26672.45,36512.9,43809.86,31312,36741.01,55377.58,50345,74024,37457,19366,50253.48,43967.04,47045.26,23207.96,81006.95,48579.57,162222.58,122201.31
Central African Republic,CAF,Cereal production (metric tons),AG.PRD.CREL.MT,,68000,83300,84300,87000,88500,85500,89600,92800,99476,92188,95477,99900,103650,101362,94672,96000,93000,92918,93145,99862,116073,120200,102676,102100,110772,177889,126314,143158,123580,89142,91504,93947,93637,100706,112818,126400,138400,147500,161000,165600,182600,193300,201800,209900,230994.25,227000,236570,235527,250667,249000,258000,259100,183292.05,133138.87,131505.49,142936,142000,142000,157397,163293,142808.96
Canada,CAN,Cereal production (metric tons),AG.PRD.CREL.MT,,16730306,29261250,34122307,28504578,32228771,38663261,30080426,34413439,35922333,28560715,38859750,35466355,36600202,30864826,37107574,44710278,42239008,41895782,35955000,41364700,50862200,53333208,47447208,42793504,48239300,56964700,51635200,35494200,48089308,56806235,53852300,49642650,51483100,46618500,49344200,58494100,49606900,50984500,54112600,51090400,43391400,36046900,49197200,50778200,50962400,48577300,48005300,56030400,49691900,46122200,48337200,51846500,66535401,51683501,53563000,58905767.63,56770935,58726900,61473900,65267800,46738983
Central Europe and the Baltics,CEB,Cereal production (metric tons),AG.PRD.CREL.MT,,37314040,35018224,36600409,37350064,41566188,44139148,44241723,44456063,47189498,41322641,51295448,56271908,54697027,55604691,54755880,60494032,57926590,60727030,56320928,59359513,57432196,66006856,61460962,69416772,63435998,67554227,64393196,66573809,70280804,65874490,71934131.61,55532051.3,70674726.91,75279886.55,80133728.87,71697770.96,86942159.48,79227745.53,75782501.07,63008050.19,84688565.99,77474416.8,63692393.97,99059105.12,88094731.15,74034451.82,66934778.38,91143023.05,86024254.53,81280936.85,89668739.39,79411882.07,94100902.67,105877821.2,96099251.57,103432662.3,105791344.3,104638040,111545330,106227850,113891010
Switzerland,CHE,Cereal production (metric tons),AG.PRD.CREL.MT,,517800,697400,514700,632200,557900,566600,672800,652600,640400,633700,743000,738400,749600,856800,756900,795500,690000,835100,875000,789100,863500,928900,899600,1118200,1054400,959900,939000,1243700,1410700,1268000,1273639,1182772,1252968,1213740,1245612,1317471,1194083,1240975,1028481,1169500,1079600,1087700,847200,1089000,1056500,1013200,1012697,1002471,1006184,924003,999472.67,950518.46,867293.65,994310.67,909943.14,743880,976614,895098,932966,1010995,725906
Channel Islands,CHI,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Cereal production (metric tons),AG.PRD.CREL.MT,,1476591,1389968,1561408,1656255,1620504,1914918,1890890,1961730,1590124,1840835,1931264,1827016,1320638,1653790,1671151,1406210,1977820,1483220,1936840,1754570,1535090,1447650,1437080,2115610,2359916,2674806,2819062,2799539,3147704,2980600,2863844,2900504,2643035,2618939,2765799,2577562,3077333,3098078,2167950,2589760,3115635,3380192,3692845,3999404,3989070,3565734,2855245,3302330,3125486,3588461.6,3950348,3464791,4004023,3478752,3788921.4,3872402.5,3471759.7,3661684.5,3296214.6,2761553.53,3035972.47
China,CHN,Cereal production (metric tons),AG.PRD.CREL.MT,,109659976,120421293,137456233,152356625,162156281,177613486,181182167,177133015,176486754,200836854,212142760,206516977,221853449,234636870,244525529,250213735,243286035,273038118,292727509,280287437,286450038,315364050,345626506,365937335,339877377,352084647,359240676,351824290,367636080,404719096,398896071,404275226,407930462,396460120,418664201,453439300.4,445931409.1,458394739.1,455192431,407336509,398396811,398688240,376655003,413163790,429370265,452800281.9,457809418,480125970,483277147.1,497920509.3,521171807.9,541163568,554422546.7,559325232.6,619923474.8,616456117.5,616017835.5,612121710,615403477,618599089.7,633846950
Cote d'Ivoire,CIV,Cereal production (metric tons),AG.PRD.CREL.MT,,294000,451000,440600,478900,481500,524600,620600,625600,617800,591900,711400,585900,613400,693900,837525,780125,809385,846450,889850,859900,846680,934475,818885,1096250,1082424,1043119,1079837,1150577,1194341,1241131,1224938,1245791,1267664,1290241,1321407,1354230,1221428,1243200,1264364,1285904,1307824,1330096,1334280,1378128,1424903,1441779,1224570,1408447,1428840,1961771,1607414,2332512,2712481,2855919,3308600,3159200,3290400,3214062,3139196,2817182,2955486.12
Cameroon,CMR,Cereal production (metric tons),AG.PRD.CREL.MT,,703583,689048,700750,694099,673250,725794,631191,643847,788129,737727,798840,777845,769867,860079,1102526,834899,846930,887449,872186,891774,834621,961200,889155,657375,815330,1094453,714801,899635,857532,816296,994961.9,1019074.53,986587.16,960797.51,1179857.54,1296414,1267561.59,1411778.52,1185283.69,1275031.18,1356269.08,1498928.47,1587074.45,1684566.14,1873820.65,2096108.11,2368429.65,2474095.43,2820273.57,3011835,2988076,3229408,3197150,3357882.36,3645512.68,3820815.4,3622931.19,3733523.35,3742092.97,3744821.48,3794655.7
"Congo, Dem. Rep.",COD,Cereal production (metric tons),AG.PRD.CREL.MT,,503194,491776,456941,458636,448234,532604,558240,654274,645935,666231,672000,701555,712224,735654,759021,773400,779900,770800,868800,889000,940900,981290,1010485,1057866,1141300,1192860,1256060,1332440,1414920,1490658,1458967.22,1502518.78,1607622,1659940,1479045.06,1556773.16,1531845.47,1621402.78,1592753,1572045,1546061,1520470,1521340,1522295,1523240,1524145,1525030,1525860,1526862,2591311,2656556.47,2644174.79,2858786.59,3097523.77,3120941.02,3267140.49,3459463.81,3533622,3576523.19,3720552.81,3882111.78
"Congo, Rep.",COG,Cereal production (metric tons),AG.PRD.CREL.MT,,5000,5050,8800,9000,10000,11000,12000,15500,10000,8000,10000,11701,12229,18431,20650,20860,21011,13500,20000,11713,13400,8472,12387,14371,16048,22121,19942,20805,21691,6014,6225,6442,8663,8909.85,11143.25,11680.64,11934.03,12838.4,9537.76,9767.33,18024.71,19205.62,22188.46,22002.71,22090.42,21700,21323.02,22950,23900,24795.16,25268.64,26547.44,28119.85,26730.11,27620.12,28896.54,29874.2,30887.05,31518.18,30679.01,30644.69
Colombia,COL,Cereal production (metric tons),AG.PRD.CREL.MT,,1476921,1616500,1551280,1826649,1812755,1810000,1776700,1952100,1839285,1888195,2123548,2227384,2349871,2854540,2841330,2909420,2672126,3415824,3381881,3224948,3409936,3617861,3379234,3257772,3144300,3067149,3598000,3553800,4007400,4314100,3947900,3673663,3521972,3630507,3435137,3177322,3207093,2892815,3407331,3619055,3548898,3621268,4284960,4438852,4098565,3685423,4013252,4323748,4178754,3535917,3798448.71,4270490.44,3816635.85,4051806.18,3998890.74,4396731.27,4647649.61,4349017.58,4434630.15,4930195.07,4942606.4
Comoros,COM,Cereal production (metric tons),AG.PRD.CREL.MT,,11300,11300,12300,13600,15000,16300,15500,14500,13500,13500,11500,12600,13700,14800,16000,16200,17600,18000,18000,18200,18300,18200,18000,16650,16550,16990,16450,16500,18550,18655,19570,20090,20610,20665.57,20911.77,21077.93,21246.41,21455.57,21076.16,18981.28,20796.14,21139.22,21636.65,22122.15,22250.11,24262.45,21544.15,24741.34,26229.56,29214.06,31892.99,32363.35,35154.28,36197.27,36500.87,37299.51,37916.87,37239.08,37485.16,37547.04,37423.76
Cabo Verde,CPV,Cereal production (metric tons),AG.PRD.CREL.MT,,13000,13000,13000,13000,17000,19000,22000,11000,7000,924,910,575,714,2200,4000,5000,1500,1000,6000,8500,3000,4400,2700,2525,1323,12138,21182,16507,9714,11418,8258,10265,11888,8163,8166,10190,4900,4883,36439,24341,19549,5067,12154,10000,3648,6378,4425,8039,7383,7047,5569,6001,5785,1065,8677,5642,4,719.4,640,432,449
Costa Rica,CRI,Cereal production (metric tons),AG.PRD.CREL.MT,,118813,131894,134717,150324,169085,176991,188871,198847,179050,162294,173673,177355,186046,201358,283183,272238,294310,312673,326109,347564,336112,255755,372438,362820,380804,342176,299427,314997,245664,286772,265288,241909,208883,239960,209994,266319,281857,263065,292453,284922,229454,201368,198281,209860,196477,207263,199213.88,234240.31,283516.4,286537,297476,231741,238539,234587,203816,213880,159571,197700.9,170321.2,160752,157264
Caribbean small states,CSS,Cereal production (metric tons),AG.PRD.CREL.MT,,316977,329847,268717,417451,374753,404945,371725,322496,337356,396724,367477,329421,384248,502047,532083,414938,626422,589452,532032,592262,606275,644570,555998,647181,601131,618579,566150,542974,553663,410172,553796.4,622935.27,629492.07,664423.32,810689.74,860277.43,866753.66,783971.63,816380.62,674891.37,755307.65,669777.26,812450.13,743054.2,668980.12,720073,725612.85,763691.41,885045.97,895924.47,961916.35,980340.02,1213505.79,1020915.52,1051189.28,918321.06,1052665.13,1013590.2,1055773.74,1063354.36,973081.04
Cuba,CUB,Cereal production (metric tons),AG.PRD.CREL.MT,,331308,356020,356900,227958,156970,164999,168593,210249,311115,462723,443328,408966,423632,532548,541346,546178,551874,553558,521200,573934,556987,615852,613744,650860,620420,666617,562139,584957,617481,539689,483643.5,442005.5,254233.71,487047.85,500900,717530.9,817272.34,618526.25,796890,826200,900115,1001179,1075955,889369,732197,744119,809469,762180,868697,779086,920658,1003983,1104303,1017580,791665.9,930967.8,786203,812373.93,703710.65,525731.5,467605.51
Curacao,CUW,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Cereal production (metric tons),AG.PRD.CREL.MT,,92761,159512,155562,112776,230195,107696,184201,118059,184302,99974,209601,163576,17216,209296,84176,91338,81229,89022,77826,95220,87158,91684,71310,92650,112200,67800,126000,158110,148080,108500,65180,181645,204840,162150,145170,141190,47780,65820,127100,47950,127380,141750,164690,111410,70185,66833,63533,6341,56820,65732,70195,90747,51923,7362,88127,10161,35836,25290,61280,75720,52640
Czechia,CZE,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6485852,6798603.54,6619711,6661644,6999308.76,6681420,6940576.22,6467637,7353491,6784829,5780887,8803796.42,7677321.21,6402586.1,7157365.5,8374003.46,7836374.51,6882070.3,8289281.9,6600024.27,7516943.8,8783608.2,8187773.98,8600552.1,7460864.15,6970920,7646150,8126660,8227120
Germany,DEU,Cereal production (metric tons),AG.PRD.CREL.MT,,17257340,21166661,20970320,22737326,20620142,20742474,25380099,26898318,25853039,23753864,28685065,28780064,29680306,32357236,30164053,27323692,30306879,33762346,31729504,32712941,31688884,34645710,33077787,37838589,37555294,37257105,35061112,36931897,36881160,37579589,39267858,34758462,35547425,36328713,39863871,42135618,45485681,44574851,44452029,45271234,49709326,43391325,39426039,51097000,45980200,43474800,40632149,50104858,49750199,44038739,41920400,45396500,47757100,52010400,48866800,45364400,45556800,37948100,44302400,43265100,42359400
Djibouti,DJI,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,5,5,5,7,7,10,9,10,4,10,9.86,9.88,9.91,9.94,10,10.1,10.23,10.36,10.62,11,12,10,10,9.95,9,10,10.96,12.12,13.12,14.06,14.97,16,16,16.46,17.92,16.79,16.75,17.15,16.9,16.93,16.99
